,description,preprocessed_description,label,index,tfidf_sum,tfidf_mean,emotions_sum,emotions_mean,text_length,capital_letters_count,numbers_count,question_marks_count,currency_signs_count,capital_words_count,possible_email,possible_address,non_polish_char_count,possible_phone_numbers,personal_info_keywords_count,inspiring_keywords_count,money_related_keywords_count
0,,,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,0,0,0
1," SAMODZIELNA KSIĘGOWA  Twój zakres obowiązków Księgowanie dokumentów; Rozliczanie produkcji w toku oraz produkcji gotowej; Analiza i rozliczanie wyznaczonych kont analitycznych; Odpowiedzialność za zarządzanie projektami, przegląd wyników oraz za wdrażanie zasad należytej staranności w zakresie rozliczania podatku VAT, CIT oraz bieżącej sprawozdawczości; Współpraca z zespołem administracyjnym oraz innymi działami począwszy od budowania strategii działu finansowo księgowego, planowania, realizacji strategii i sprawozdawczości; Przeprowadzanie na czas analizy i raportowania danych w celu umożliwienia podejmowania strategicznych decyzji; Łączność i współpraca z innymi zespołami w celu wykorzystania potencjalnych możliwości usprawnień i koordynacja z innymi funkcjami w celu zebrania i dostarczenia odpowiednich informacji zespołom, budowanie procesów dla realizacji Zaangażowanie, wsparcie i pomoc innym Pracownikom firmy w gromadzeniu najlepszych praktyk i zapewnieniu spójności podatkowooperacyjnej;  Nasze wymagania Wykształcenie wyższe, preferowane kierunkowe (rachunkowość); Doświadczenie pracy na stanowisku Samodzielna/y Księgowa/y w firmie produkcyjnej, Biegła znajomość obszaru księgowości i podatków spółek akcyjnych oraz współpracy z biegłym rewidentem, Znajomość systemu Enova365, Znajomość metod prezentacji oraz sporządzania sprawozdania finansowego; Umiejętność adaptacji do nowych technologii oraz zarządzania projektami.  To oferujemy Umowę o pracę lub umowę B2B w stabilnej i szybko rozwijającej się polskiej firmie, Wynagrodzenie uzależnione od kompetencji i doświadczenia, Możliwość implementacji własnych pomysłów i rozwiązań.   ","samodzielny księgowy twój zakres obowiązek księgowanie dokumentów; rozliczać produkcja tok produkcja gotowej; analiza rozliczać wyznaczyć konto analitycznych; odpowiedzialność zarządzanie projektami, przegląd wynik wdrażać zasada należyty staranność zakres rozliczać podatek vat, citona bieżeć sprawozdawczości; współpraca zespół administracyjny inny działo począć budować strategia działo finansowy księgowego, planowania, realizacja strategia sprawozdawczości; przeprowadzać czas analiza raportować dany cel umożliwić podejmować strategiczny decyzji; łączność współpraca inny zespół cel wykorzystanie potencjalny możliwość usprawnienie koordynacja inny funkcja cel zebranie dostarczyć odpowiedni informacja zespołom, budować proces realizacja zaangażowanie, wsparcie pomoc inny pracownik firma gromadzić dobry praktyka zapewnienie spójność podatkowooperacyjnej; nasze wymaganie wykształcić wyższe, preferować kierunkowy (rachunkowość); doświadczyć praca stanowisko samodzielna/y księgowa/y firma produkcyjnej, biegły znajomość obszar księgowość podatek spółka akcyjny współpraca biegły rewidentem, znajomość system enova365, znajomość metoda prezentacja sporządzać sprawozdanie finansowego; umiejętność adaptacja nowy technologia zarządzanie projektami. to oferować umowa praca umowa b2były stabilny szybki rozwijać polski firmie, wynagrodzić uzależniony kompetencja doświadczenia, możliwość implementacja własny pomysł rozwiązań.",1,1,10.145443053933107,0.0062820080829307165,100.0,0.06188118811881188,1657,51,4,0,0,5,,,31,,0,1,1
2," Manpower (Agencja zatrudnienia nr 412) to globalna firma o ponad 70letnim doświadczeniu, działająca w 82 krajach. Na polskim rynku jesteśmy od 2001 roku i obecnie posiadamy prawie 35 oddziałów w całym kraju. Naszym celem jest otwieranie przed kandydatami nowych możliwości, pomoc w znalezieniu pracy odpowiadającej ich kwalifikacjom i doświadczeniu. Skontaktuj się z nami  to nic nie kosztuje, możesz za to zyskać profesjonalne doradztwo i wymarzoną pracę! Oferta:  Możliwość rozwoju w międzynarodowej firmie o uznanej pozycji na rynku  Umowa o pracę na czas określony z możliwością stałej współpracy Bogaty pakiet benefitów ManpowerGroup: dostęp do karty MultiSport, prywatnej opieki medycznej, ubezpieczenia grupowego, platformy MyBenefit oraz programu rabatowego ManpowerGroup Premium ze zniżkami na produkty i usługi wielu firm, sklepów, obiektów sportowych, teatrów i restauracji Praca w systemie hybrydowym   Wymagania:  Bardzo dobra znajomość języka niemieckiego (min. B2)  Dobra znajomość języka angielskiego (min. B1)  Wykształcenie z zakresu finansów, księgowości lub ekonomii  Mile widziane doświadczenie w obszarze finansów, księgowości i obsługi klienta  Dobra znajomość Microsoft Office  Zadania:  Przetwarzanie wniosków o środki trwałe i prowadzenie rejestru FA  Sprawdzanie stanu inwestycji i aktywacja środków trwałych  Raportowanie zamknięcia okresu (miesięcznego/kwartalnego) (w tym wprowadzenie do pakietu prawnego)  Wykonywanie amortyzacji i rozwiązywanie problemów  Wykonywanie czynności związanych z księgowaniem zapasów  Księgowanie przedpłat i faktur końcowych, gwarancji bankowych  Rozliczanie przedpłat od dostawców i sprawdzanie listy otwartych pozycji do uruchomienia płatności  Oferta dotyczy pracy tymczasowej.  ","manpower (agencja zatrudnienie wumer 412) globalny firma 70letni doświadczeniu, działać 82 krajach. nativus polskie rynek być 2001 obecnie posiadać 35 oddział cały kraju. nasze cel otwierać kandydat nowy możliwości, pomoc znaleźć praca odpowiadać kwalifikacje doświadczeniu. skontaktować kosztuje, móc zyskać profesjonalny doradztwo wymarzyć pracę! oferta: możliwość rozwój międzynarodowy firma uznany pozycja rynek umowy praca czas określony możliwość stały współpraca bogaty pakiet benefit manpowergroup: dostęp karty multisport, prywatny opieka medycznej, ubezpieczyć grupowego, platforma mybenefit program rabatowy manpowergrouy premium z zniżka produkt usługi firm, sklepów, obiekt sportowych, teatrum restauracja praca systema hybrydowy wymagania: bardzo dobry znajomość język niemiecki (min. b2) dobry znajomość język angielski (min. b1) wykształcić zakres finansów, księgowość ekonomie mila widzieć doświadczyć obszar finansów, księgowość obsługa klient dobry znajomość microsoft office zadania: przetwarzanie wniosek środki trwały prowadzić rejestr fativus sprawdzać stan inwestycja aktywacja środki trwały raportować zamknięcie okres (miesięcznego/kwartalnego) ( wprowadzić pakiet prawnego) wykonywać amortyzacja rozwiązywać problem wykonywać czynność związać księgowanie zapasy księgowanie przedpłata faktura końcowych, gwarancja bankowy rozliczać przedpłata dostawca sprawdzać lista otworzyć pozycja uruchomić płatność oferta dotyczyć praca tymczasowej.",1,2,11.200992736528804,0.006935599217664894,117.0,0.0724009900990099,1744,40,15,1,0,3,,,49,,1,1,1
3," Zatrudnimy doracę, doradczynię ds. kontaktu z klientami indywidualnymi. Praca w terenie. Cotygodniowa Wypłata wynagrodzenia.   ","zatrudnić doracę, doradczyni ds. kontakt klient indywidualnymi. praca terenie. cotygodniowy wypłatać wynagrodzenia.",1,3,3.3415385496715797,0.0020690641174437026,10.0,0.006188118811881188,128,4,0,0,0,0,,,5,,0,0,0
4, Jeśli:  w pracy nie lubisz rutyny szukasz stałego lub dodatkowego zajęcia ważny jest dla Ciebie rozwój zawodowy i osobisty lubisz gdy dużo zależy od Ciebie cenisz sobie elastyczny czas pracy masz chęć do nauki lubisz kontakt z ludźmi masz minimum średnie wykształcenie jesteś studentem/pracujesz na etacie lub masz własną działalność chcesz zdobyć nowy zawód lub się przebranżowić  to koniecznie przyślij swoje cv  ,jeśli: praca lubić rutyna szukać stały dodatkowy zajęcie ważny ty rozwój zawodowy osobisty lubić zależeć ty cenić elastyczny czas praca mieć chęć nauka lubić kontakt człowiek mieć minimum średnia wykształcić być studentem/pracować etat mieć własny działalność chcieć zdobyć nowy zawód przebranżowić koniyć przysłać centyvus,1,4,5.7975641302720025,0.003589822990880497,34.0,0.02103960396039604,416,3,0,0,0,0,,,2,,0,0,0
5," Manpower (Agencja zatrudnienia nr 412) to globalna firma o ponad 70letnim doświadczeniu, działająca w 82 krajach. Na polskim rynku jesteśmy od 2001 roku i obecnie posiadamy prawie 35 oddziałów w całym kraju. Naszym celem jest otwieranie przed kandydatami nowych możliwości, pomoc w znalezieniu pracy odpowiadającej ich kwalifikacjom i doświadczeniu. Skontaktuj się z nami  to nic nie kosztuje, możesz za to zyskać profesjonalne doradztwo i wymarzoną pracę! Zadania: Zarządzanie siedmioosobowym zespołem oraz procesami RtR Nadzór nad procesem zamknięcia miesiąca/kwartału/roku   Przygotowanie raportów i sprawozdań finansowych Zarządzanie codziennymi operacjami RtR oraz dbanie o ciągłe doskonalenie procesów Współpraca z działem kontrolingu i innymi działami Współpraca z audytem wewnętrznym oraz zewnętrznym Wymagania: Wykształcenie wyższe, specjalizacja: rachunkowość, finanse, ekonomia Doświadczenie na podobnym stanowisku 57 lat Umiejętność zarządzania zespołem Minimum rok doświadczenia w zarządzaniu zespołem Biegły angielski Wysoko rozwinięte zdolności interpersonalne i komunikacyjne Oferta: Ciekawa i dynamiczna praca w międzynarodowej organizacji Możliwość pracy w trybie hybrydowym Opieka medyczna Ubezpieczenie na życie Dostęp do platformy kafeteryjnej Paczki świąteczne  Oferta dotyczy pracy stałej.   ","manpower (agencja zatrudnienie wumer 412) globalny firma 70letni doświadczeniu, działać 82 krajach. nativus polskie rynek być 2001 obecnie posiadać 35 oddział cały kraju. nasze cel otwierać kandydat nowy możliwości, pomoc znaleźć praca odpowiadać kwalifikacje doświadczeniu. skontaktować kosztuje, móc zyskać profesjonalny doradztwo wymarzyć pracę! zadania: zarządzanie siedmioosobowy zespół proces rtrok nadzór proces zamknięcie miesiąca/kwartału/ przygotowanie raport sprawozdanie finansowy zarządzanie codzienny operacja rtrok dbanie ciągły doskonalić proces współpraca działo kontroling inny działo współpraca audyt wewnętrzny zewnętrzny wymagania: wykształcić wyższe, specjalizacja: rachunkowość, finanse, ekonomia doświadczyć podobny stanowisko 57 umiejętność zarządzanie zespół minimum rok doświadczyć zarządzanie zespół biegły angielski wysoki rozwinięty zdolność interpersonalny komunikacyjny oferta: ciekawy dynamiczny praca międzynarodowy organizacja możliwość praca tryba hybrydowy opiekać medyczny ubezpieczyć żyto dostęp platforma kafeteryjny paczka świąteczny oferta dotyczyć praca stałej.",1,5,9.428065075540406,0.005837811192285081,82.0,0.050742574257425746,1316,31,15,1,0,0,,,34,,0,1,1
6," Manpower (Agencja zatrudnienia nr 412) to globalna firma o ponad 70letnim doświadczeniu, działająca w 82 krajach. Na polskim rynku jesteśmy od 2001 roku i obecnie posiadamy prawie 35 oddziałów w całym kraju. Naszym celem jest otwieranie przed kandydatami nowych możliwości, pomoc w znalezieniu pracy odpowiadającej ich kwalifikacjom i doświadczeniu. Skontaktuj się z nami  to nic nie kosztuje, możesz za to zyskać profesjonalne doradztwo i wymarzoną pracę! Zakres obowiązków: Wsparcie w departamencie banku Zadania wspierające biznes  Administrowanie i obsługa dokumentacji  Przygotowywanie materiałów wewnętrznych i zewnętrznych Praca z klientami międzynarodowymi  Oczekiwania: Dostępność w pełnym wymiarze godzin Bardzo dobra znajomość języka angielskiego min. B2 Doświadczenie w pracy biurowej Zatrudniamy również osoby ze statusem studenta Oferujemy: Pracę na umowęzlecenie Stawkę: 25 zł brutto/godz. Dogodną lokalizację biura niedaleko centrum (Warszawa, al. Jana Pawła II) Pracę w modelu hybrydowym (2 dni pracy z biura w tygodniu) Oferta dotyczy pracy tymczasowej.   ","manpower (agencja zatrudnienie wumer 412) globalny firma 70letni doświadczeniu, działać 82 krajach. nativus polskie rynek być 2001 obecnie posiadać 35 oddział cały kraju. nasze cel otwierać kandydat nowy możliwości, pomoc znaleźć praca odpowiadać kwalifikacje doświadczeniu. skontaktować kosztuje, móc zyskać profesjonalny doradztwo wymarzyć pracę! zakres obowiązków: wsparcie departament bank zadanie wspierający biznes administrować obsługa dokumentacja przygotowywać materiały wewnętrzny zewnętrzny praca klient międzynarodowy oczekiwania: dostępność pełny wymiar godzina bardzo dobry znajomość język angielski min. b2 doświadczyć praca biurowy zatrudniać osoba z status student oferujemy: praca umowęzlecieć stawkę: 25 złoty brutto/godz. dogodny lokalizacja biuro niedaleki centrum (warszawa, al. janativus paweł ii) praca model hybrydowy (2 dzień praca biuro tygodniu) oferta dotyczyć praca tymczasowej.",1,6,9.375801410473857,0.005805449789767094,71.0,0.04393564356435643,1075,28,17,1,1,2,,,40,,0,1,1
7," Manpower (Agencja zatrudnienia nr 412) to globalna firma o ponad 70letnim doświadczeniu, działająca w 82 krajach. Na polskim rynku jesteśmy od 2001 roku i obecnie posiadamy prawie 35 oddziałów w całym kraju. Naszym celem jest otwieranie przed kandydatami nowych możliwości, pomoc w znalezieniu pracy odpowiadającej ich kwalifikacjom i doświadczeniu. Skontaktuj się z nami  to nic nie kosztuje, możesz za to zyskać profesjonalne doradztwo i wymarzoną pracę! Zadania: Przygotowywanie raportów, zestawień, analiz finansowych Pomoc w bieżącym wykonywaniu zadań Analiza wyników Wymagania: Wykształcenie wyższe – ekonomiczne Bardzo dobra znajomość języka angielskiego (min C1) Bardzo dobra znajomość arkusza kalkulacyjnego Excel Dokładność Umiejętności analityczne Mile widziane doświadczenie na podobnym stanowisku Oferta: Umowa o pracę na pełny etat Wynagrodzenie w przedziale 4500  5000 zł brutto uzależnione od doświadczenia kandydata Premia indywidualna Karta Sportowa, ubezpieczenie grupowe Miła atmosfera w pracy z zespołem nastawionym na współpracę Oferta dotyczy pracy stałej.  ","manpower (agencja zatrudnienie wumer 412) globalny firma 70letni doświadczeniu, działać 82 krajach. nativus polskie rynek być 2001 obecnie posiadać 35 oddział cały kraju. nasze cel otwierać kandydat nowy możliwości, pomoc znaleźć praca odpowiadać kwalifikacje doświadczeniu. skontaktować kosztuje, móc zyskać profesjonalny doradztwo wymarzyć pracę! zadania: przygotowywać raportów, zestawień, analiza finansowy pomoc bieżeć wykonywać zadanie analiza wynik wymagania: wykształcić wyżesoki – ekonomiczny bardzo dobry znajomość język angielski (minuta c1) bardzo dobry znajomość arkusz kalkulacyjny excela dokładność umiejętność analityczny mila widzieć doświadczyć podobny stanowisko oferta: umowy praca pełny etat wynagrodzić przedział 4500 5000 złoty brutto uzależniony doświadczyć kandydat premium indywidualny karta sportowa, ubezpieczyć grupowy miły atmosfera praca zespół nastawić współpraca oferta dotyczyć praca stałej.",1,7,9.420874303067787,0.005833358701589961,77.0,0.04764851485148515,1082,26,22,1,1,1,,,41,,0,1,1
8," Szukam ambitnych osób do zespołu, które nie boją się nowych wyzwań, potrafią szybko się uczyć i chcą rozwoju zawodowego. Pracę można dostosować do swojego trybu życia, firma ma jasno i przejrzyście określoną ścieżkę kariery. Od samego początku daję swoje wsparcie jako doświadczonego Menedżera, uczę zawodu i pomagam ze wszystkim. Oferujemy dobre pieniądze i przestrzenne biuro. Wymagania: Wykształcenie minimum średnie, Komunikatywność, Chęć uczenia się, Mile widziane doświadczenie w sprzedaży lub w pracy w Call Center Zapraszam do składania cv, rekrutacja obejmuje 2 etapy  ","szukać ambitny osoba zespołu, boja nowy wyzwań, potrafić szybki uczyć chcieć rozwój zawodowego. praca dostosować swój tryb życia, firma jasny przejrzysta określony ścieżka kariery. oda sam początek dawać wsparcie doświadczyć menedżera, uczyć zawód pomagać z . oferować dobry pieniądz przestrzenny biuro. wymagania: wykształcić minimum średnie, komunikatywność, chęć uczyć , mila widzieć doświadczyć sprzedaż praca callocativus center zapraszać składać cv, rekrutacja obejmować 2 etap",1,8,6.901856318108923,0.0042735952434110975,48.0,0.0297029702970297,579,13,1,0,0,0,,,14,,0,0,0
9," LUBISZ DORADZAĆ INNYM? RÓB TO Z NAMI! Doradzaj i ubezpieczaj jako MŁODSZY SPRZEDAWCA FINANSOWY i zajmij się: profesjonalną obsługą klientów w salonach RTV EURO AGD – prezentowaniem oferty finansowej i ubezpieczeniowej, przyjmowaniem należności za zrealizowaną transakcję, kreowaniem profesjonalnego wizerunku naszej marki. Zyskaj: stabilną i pewną pracę na etat, w miejscu, w którym dobra atmosfera to codzienność,  dwuskładnikowe wynagrodzenie: pensja + premia (bez limitu!) za osiągane wyniki, profesjonalny system szkoleń, który pozwoli Ci nabyć niezbędną wiedzę i kompetencje do pracy, atrakcyjny pakiet benefitów, który pozwoli Ci zadbać o zdrowie, ubezpieczyć się na życie, uprawiać sport (karta MultiSport, firmowy Klub Biegacza, Klub Rowerzysty), zyskać bonus finansowy za polecenia do pracy, zespół, na który możesz liczyć – lubimy się i wspieramy, bo #łączą nas ludzie ciekawe doświadczenie.  W pracy przyda Ci się: autentyczna pasja w kontakcie z innymi ludźmi – budowanie relacji to podstawa w tej pracy, otwartość, sumienność, gotowość do nauki i realizacji celów, łatwość w komunikowaniu się oraz wysoka kultura osobista, doświadczenie w obsłudze klienta – bez względu na branżę czy rodzaj stanowiska. ","lubić doradzać innym? robić to ezyt nami! doradzać ubezpieczać młody sprzedawca finansowy zająć : profesjonalny obsługa klient salon rtv eura agd – prezentować oferta finansowy ubezpieczeniowej, przyjmować należność zrealizować transakcję, kreować profesjonalny wizerunek nasz marki. zyskaj: stabilny pewny praca etat, miejscu, dobry atmosfera codzienność, dwuskładnikowy wynagrodzenie: pensja + premium ( limitu!) osiągać wyniki, profesjonalny systema szkoleń, pozwolić ty nabyć niezbędny wiedza kompetencja pracy, atrakcyjny pakiet benefitów, pozwolić ty zadbać zdrowie, ubezpieczyć życie, uprawiać sport (karta multisport, firmowy kluba biegacza, kluba rowerzysty), zyskać bonus finansowy polecieć pracy, zespół, móc liczyć – lubić wspieramy, #łączyć lud ciekawy doświadczenie. wyspa praca przydać ty : autentyczny pasja kontakt inny człowiek – budować relacja podstawa pracy, otwartość, sumienność, gotowość nauka realizacja celów, łatwość komunikować wysoki kultura osobista, doświadczyć obsługa klient – wzgląd branża rodzaj stanowiska.",1,9,9.819691174888955,0.006080304133058176,86.0,0.053217821782178217,1217,77,0,2,0,14,,,42,,0,0,2
