link,dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
https://www.olx.pl/oferta/praca/praca-dodatkowa-stala-w-domu-zdalna-online-bez-doswiadczenia-CID4-IDUyJ7F.html,2023-05-15, 835751423,Praca dodatkowa / stała / w domu - ZDALNA/ONLINE - bez doświadczenia,Strona główna/Praca/Marketing i PR/Media i PR/Media i PR - Dolnośląskie/Media i PR - Wałbrzych,https://www.olx.pl/oferty/uzytkownik/beuNf/,Doświadczenie nie jest wymagane/Elastyczny czas pracy/Rekrutacja online/Praca zdalna dozwolona,"Jesteś młodą, rzetelną osobą, chcącą podjąć się zarobku „od zaraz”? Może przeraża Cię inflacja i poszukujesz dodatkowego źródła dochodu, jesteś mamą, która nie ma możliwości wrócić na etat? Prawda jest taka, że nie ma znaczenia, kto co robi i na jakim etapie jest, w ten sposób może zarabiać KAŻDY!!!Poszukuję Partnerów do współpracy którzy nie boją się nowych wyzwań.Pracę traktujemy jako dodatek do etatu, bądź studiów, natomiast atrakcyjne zarobki sprawiają, że można to potraktować jako JEDYNE i STAŁE źródło dochodu nawet w dobie inflacji i drożyzny. Powiem inaczej; osoby u nas pracujące NIE patrzą na ceny jedzenia i paliwa, dodatkowo zaznaczę że sektor usług w którym pracujemy, sprawia że inflacja działa na naszą korzyść.Możliwość atrakcyjnych zarobków:na początek około 3 700 PLN miesięcznie, pracując po 2-3 godziny dziennieTwoja praca polega tylko i wyłącznie na odpisywaniu ludziom na wiadomości gotowymi skryptami, formułkami oraz działanie na gotowych materiałachNA CZYM KONKRETNIE POLEGA PRACA?Twoim głównym zadaniem jest pomoc ludziom na czacie, jako pewnego rodzaju support za pomocą gotowych wiadomości i przygotowywanych przez nas formułek.Twoja praca polega tylko i wyłącznie na odpisywaniu ludziom na wiadomości gotowymi skryptami i formułkami na zasadzie kopiuj - wklejodpisywanie na wiadomości od potencjalnych klientówobsługa KlientaNie jest to oferta pracy w:MLM/AVON/ORIFLAME/TESTER PRODUKTÓW.BEZ INWESTYCJI FINANSOWEJ I PAKIETÓW STARTOWCHBEZ ROZMÓW TELEFONICZNYCH I SPOTKAŃ NA KAMERZEBEZ JEŻDŻENIA PO LUDZIACH. WSZYSTKO ODBYWA SIĘ W 100% ZDALNIECo oferujemy?Tygodniówki - pewne wypłaty co tydzień, bezpośrednio na konto bankowe, 4 razy w przeciągu miesiąca! Zamiast czekać do 10 - dziesiątego, pieniądze trafiają na nasze konto co tydzień !Nie musisz mieć doświadczenia - uczymy od podstaw, każdy z naszego zespołu startował z tej samej pozycji co Ty, czyli bez totalnego doświadczenia, a teraz każdy siedzi z grubym portfelem i ma w nosie rachunki, ceny i opłaty.Stabilizacja i pewność - gdy w dzisiejszych czasach każdy martwi się o ciągłość finansową i stabilizacje, my działamy w branży i w zespole, który będzie sprawnie działać i dużo zarabiać !praca zdalna, w domuelastyczny czas pracydodatkowe premie proporcjonalne do zaangażowaniapełne wsparcie Zespołu oraz pomoc na każdym krokugotowe szkolenia online - pełne wdrożenieniezbędne narzędzia do pracynie wymagamy żadnej inwestycji finansowejnie wymagamy od osób żadnych danych poufnych, nie jesteśmy instytucją zbierającą dane i przetwarzającą jeWymagania:ZAANGAŻOWANIE I CHĘCI!ukończone 18 lataktualne zamieszkanie na terenie Polskikomputer lub smartfon z dostępem do internetufacebook oraz messengerOd każdej zarobionej kwoty rozliczamy się z Urzędem Skarbowym. Szkolimy każdego jak te podatki odprowadzać.Możliwość zarobienia 500 zł na szkoleniu!Jeśli ogłoszenie jest wciąż widoczne, oznacza, że jest aktualne.Zapraszam do kontaktu w wiadomości prywatnej na olx.",3000.0,7000.0,zł, mies. brutto,Wałbrzych,Dodatkowa / sezonowa,Inny,6643597317416472426
https://www.olx.pl/oferta/praca/asystent-kierownika-w-sklepie-new-yorker-walbrzych-victoria-CID4-IDTHrlL.html,2023-05-19, 823051721,Asystent Kierownika w sklepie NEW YORKER - Wałbrzych - Victoria,"Strona główna/Praca/Pracownik sklepu/Kasjer, pracownik sklepu/Kasjer, pracownik sklepu - Dolnośląskie/Kasjer, pracownik sklepu - Wałbrzych",http://newyorker.olx.pl,Odpowiednie doświadczenie zawodowe/Praca zmianowa/Praca w weekendy/Kadra kierownicza,"Wyobraź sobie lata 70-te, niewielkie portowe miasto na północy Niemiec. To właśnie tam powstał nasz pierwszy sklep. Początkowo sprzedawano w nim jedynie jeansy. A dziś?Dziś jesteśmy prężnie rozwijającą się firmą odnoszącą sukcesy w branży Young Fashion. Posiadamy ponad 1150 filii w prawie 50 krajach i na tym na pewno nie poprzestaniemy. W naszym zespole liczącym przeszło 20 000 pracowników dokładamy wszelkich starań aby być na bieżąco z obowiązującymi trendami. Dzięki naszej pasji, spontaniczności oraz błyskawicznym działaniom od ponad 40 lat jesteśmy integralną częścią świata mody.Chciałbyś dołączyć do naszego zespołu, w którym liczy się przede wszystkim praca w przyjaznej atmosferze? Świetnie!Szukamy asystenta Kierownika sklepu, który podejmie wyzwanie...Na start:• nie czekasz w kolejce kandydatów, bo to my czekamy na Ciebie• przywita Cię super ekipa, jesteśmy drużyną - to nie banał!• profesjonalne szkolenia i wsparcie teamu w 100%• przestrzeń na Twoje pomysły i inicjatywęCoś ekstra:• atrakcyjne dodatki motywacyjne, prywatna opieka medyczna• ścieżka rozwoju – wyjdziemy Ci naprzeciw• zdobędziesz doświadczenie w zarządzaniu personelem• każdego dnia światowe trendy to u nas temat nr 1• w pełni wyposażona część socjalna dla pracownikówWspólne cele:• pomoc w zarządzaniu zespołem i prowadzeniu zmian• przygotowanie asortymentu oraz jego prezentacja• czystość i sprzedaż – idą ze sobą w parze• wsparcie klienta w poszukiwaniu modowych inspiracji• kropka nad „i” przy kasie, czyli sprzedaż komplementarnaWażne będzie:• staż pracy w handlu• doświadczenie w prowadzeniu zmian• zaangażowanie i inicjatywa• otwartość na kontakt z klientem• elastyczność - gotowość do podjęcia pracy zmianowej (rano/popołudnie) i w weekendy• zainteresowanie modą i identyfikacja ze stylem NEW YORKEROgłoszenie to tylko słowa, a my chcemy porozmawiać. Poznajmy się :)",,,,,Wałbrzych,Pełny etat,Umowa o pracę,4076073661146739647
https://www.olx.pl/oferta/praca/karczma-wrazidlok-pilnie-zatrudnimy-kucharza-CID4-IDx7IS0.html,2023-05-19, 489459868,Karczma Wrazidlok Pilnie zatrudnimy Kucharza,Strona główna/Praca/Gastronomia/Kucharz/Kucharz - Śląskie/Kucharz - Nieborowice,https://www.olx.pl/oferty/uzytkownik/3aaIp/,Odpowiednie doświadczenie zawodowe/Praca w weekendy/Elastyczny czas pracy,"zatrudnimy kucharza  z doświadczeniemOferujemy:- stabilne zatrudnienie w firmie o ugruntowanej pozycji,- udział w szkoleniach,- możliwość rozwoju i awansu-przyjazną atmosferę-posiłek pracowniczyProszę o kontakt pod numerem telefonu 66*****22 Opis stanowiska:- przygotowywanie potraw zgodnie z przyjętymi standardami,- nadzór nad jakością wydawanych dań,- organizacja pracy własnej, Wymagane umiejętności: - doświadczenie zawodowe na stanowisku kucharza- dobra organizacja pracy ",25.0,45.0,zł, godz. brutto,Nieborowice,Pełny etat,Umowa o pracę,3919658943022206359
https://www.olx.pl/oferta/praca/praca-brukarz-pomocnika-brukarza-CID4-IDTokw2.html,2023-05-20, 818497156,praca brukarz / pomocnika brukarza,Strona główna/Praca/Budowa / remonty/Budowa / remonty - Zachodniopomorskie/Budowa / remonty - Koszalin,https://www.olx.pl/oferty/uzytkownik/h1Bf/,Odpowiednie doświadczenie zawodowe,"Firma z Koszalina zatrudni brukarza fachowca oraz pomocnika z doświadczeniem do prac brukarskich oraz drogowych.Oferujemy:od 22zł dla pomocnika z doświadczeniem za godzinę na rękę w zależności od umiejętnościwynagrodzenie od 25ł za godzinę na rękę w zależności od umiejętności dla brukarza,odzież roboczą po okresie próbnympracę w okresie zimowym (praca nie przy bruku)możliwość wypłacania zaliczekprofesjonalny sprzęt budowlany (koparka, ładowarka, układarka)premie za wykonane zadania płatna co miesiąc do 10wymagania:rzetelnośćpracowitość",4000.0,7000.0,zł, mies. brutto,Koszalin,Pełny etat,Inny,6441846835334410115
https://www.olx.pl/oferta/praca/koordynator-obiektow-CID4-IDT1hVc.html,2023-05-19, 813005764,Koordynator obiektów,Strona główna/Praca/Sprzątanie/Sprzątanie - Małopolskie/Sprzątanie - Kraków/Sprzątanie - Czyżyny,http://czystyefekt.olx.pl,Odpowiednie doświadczenie zawodowe,"Firma Czysty Efekt jest polską firmą świadczącą usługi porządkowe, która działa już ponad 30 lat na terenie woj. małopolskiego i śląskiego. Zatrudniamy kilkuset pracowników.Najważniejsi dla nas są pracownicy, którzy stanowią o naszej sile.Aktywizujemy i zachęcamy do aplikowania osoby z orzeczoną niepełnosprawnością.Aktualnie poszukujemy osób do pracy na stanowisku Koordynator obiektuTwój zakres obowiązkówUtrzymywanie bieżących kontaktów z Klientami,Nadzorowanie obiektów,Stały nadzór nad prawidłową realizacją usług,Zamawianie towaru,Rekrutacja pracowników,Wprowadzanie pracowników na obiekty,Szkolenie podległego zespołu,Zaopatrzenie obiektów w niezbędną chemię oraz sprzęt.Nasze wymaganiaDoświadczenie zawodowe w pracy z ludźmi,Wykształcenie średnie,Dyspozycyjność,Znajomość obsługi komputera,Łatwość nawiązywania kontaktów,Prawo jazdy kat. B.doświadczenie w branży utrzymania czystościMile widziane:Orzeczenie o stopniu niepełnosprawności,Oferujemy:stabilne zatrudnienie na podstawie umowy o pracę,wynagrodzenie zawsze na czas,pakiet socjalny: prywatna opieka medyczna (pakiet indywidualny lub dla całej rodziny),grupowe ubezpieczenie na życie obejmujące pracowników, współmałżonków/partnerów oraz pełnoletnie dzieci,pracę w zakładzie o stabilnej sytuacji w zatrudnieniu,samochód, laptop, telefon,Osoby zainteresowane prosimy o przesłanie CV za pośrednictwem OLX.Uprzejmie informujemy, iż zastrzegamy sobie prawo do kontaktu tylko z wybranymi osobami.Wysyłając CV prosimy o załączenie klauzuli: „Wyrażam zgodę na przetwarzanie moich danych osobowych zawartych w CV do realizacji procesu rekrutacji przez Cognor Holding S. A./ 4 Workers Sp. z o.o. oraz przyszłych procesów rekrutacyjnych przez okres 1 roku po złożeniu CV zgodnie rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych oraz ustawy z dnia 10 maja 2018 r. o ochronie danych osobowych (Dz.U. z 2018 r. poz. 1000)”",,,,,"Kraków, Czyżyny",Pełny etat,Umowa o pracę,6558068349138217045
https://www.olx.pl/oferta/praca/spedytor-krajowy-CID4-IDUC6uF.html,2023-05-18, 836556245,Spedytor krajowy,"Strona główna/Praca/Logistyka, zakupy, spedycja/Spedycja/Spedycja - Lubelskie/Spedycja - Lubartów",https://www.olx.pl/oferty/uzytkownik/jzi7/,Odpowiednie doświadczenie zawodowe/Praca zmianowa,"Firma transportowa z wieloletnim doświadczeniem na rynku poszukuje specjalisty do spraw transportu, spedytora krajowego z doświadczeniemGłówne zadania i obowiązki:- Planowanie tras, monitorowanie przebiegu transportów, współpraca z kierowcami- Kontrolę przebiegu procesu transportowego i rozwiązywanie wszelkich problemów powstałych podczas procesu- Optymalizację kosztów spedycyjnych- Obsługa giełd transportowych i platform logistycznych- Rozliczanie paliwa- Rozliczanie czasu pracy kierowców- Kontrola nad przepływem informacji oraz dokumentów transportowych- Kontrola terminów przeglądów, ubezpieczeń,- Współpraca z innymi komórkami firmyWymagania:-doświadczenie w pracy związane z działalnością transportową-umiejętność myślenia logistycznego oraz analitycznego-umiejętność pracy w zespole- umiejętności pracy pod presją czasu- odporność na stres- umiejętności obsługi giełd transportowych- znajomości pakietu Ms Office w stopniu umożliwiającym swobodną pracę na stanowiskuOferujemy:- Umowa o pracę, pełny etat, praca zmianowa- Wynagrodzenie 4500- 7000 zł- Długofalową współpracę ( nie szukamy osób na miesiąc czy dwa!)- Zapewniamy stabilne zatrudnienie w oparciu o umowę o pracę- Zapewniamy miłą i przyjazną atmosferę w pracyOsoby zainteresowane pracą proszone są o kontakt telefoniczny,  bądź wysłanie aplikacji za pomocą formularza.Informujemy, że skontaktujemy się z wybranymi kandydatami.Prosimy o dopisanie klauzuli: „Wyrażam zgodę na przetwarzanie moich danych osobowych przez  Em Truck Sp. Z o.o w celu prowadzenia rekrutacji na aplikowane przeze mnie stanowisko.”, a w razie wyrażenia zgody na przetwarzanie danych na potrzeby dalszych rekrutacji: „Wyrażam zgodę na przetwarzanie przez Em Truck Sp. Z o.o. moich danych osobowych na potrzeby przyszłych rekrutacji”AdministratoremPani / Pana danych osobowych jest Em Truck Sp. z o.o ",4500.0,7000.0,zł, mies. brutto,Lubartów,Pełny etat,Umowa o pracę,-6222763580452869394
https://www.olx.pl/oferta/praca/pracownik-serwisu-technicznego-technik-konserwator-zlota-raczka-CID4-IDQCwSE.html,2023-05-19, 777548488,"Pracownik serwisu technicznego (technik-konserwator, ""złota rączka"")",Strona główna/Praca/Montaż i serwis/Montaż i serwis - Mazowieckie/Montaż i serwis - Warszawa/Montaż i serwis - Targówek,https://www.olx.pl/oferty/uzytkownik/1pU99m/,Odpowiednie doświadczenie zawodowe,"W związku ze stałym rozwojem firma CITYTECH poszukuje pracowników na stanowisko technik - konserwator.Świadczymy usługi w zakresie kompleksowej technicznej obsługi budynków mieszkalnych w obiektach zlokalizowanych w różnych częściach Warszawy. Firma świadczy także usługi serwisowe dla dużych firm z branży.Twój zakres obowiązkówBieżąca obsługa obiektu, utrzymanie w stanie gotowości eksploatacyjnej systemów i urządzeń technicznych,Rozwiązywanie problemów technicznych, związanych ze sprawnością działania podległych urządzeń i systemówUtrzymanie we właściwym porządku podległych urządzeń, instalacji, sieci oraz pomieszczeń,Ustalanie przyczyn awarii oraz pojawiających się problemów technicznych,Serwis, konserwacja oraz instalacja podstawowych systemów, urządzeń występujących na obiektach,Współpraca z podwykonawcami i dostawcami w zakresie prac konserwatorskich i remontowych,Przygotowywania raportów dotyczących prac wykonanych na terenie obiektu oraz oceniających stan techniczny urządzeń i budynków,Kontrola stanu, zużycia i jakości wykorzystywanych narzędzi,Zachowanie jakości i terminowości wykonanej usługi.Nasze wymaganiaMile widziane doświadczenie w pracy na podobnym stanowisku,Wiedzy z zakresu zagadnień technicznych i chęci rozwoju w tym obszarze,Mile widziane doświadczenie z zakresu dozoru i eksploatacji infrastruktury technicznej obiektu,Mile widziane uprawnienia SEP,Czynne prawo jazdy kat. B,Umiejętności techniczne - „Złota rączka”,Umiejętność rozwiązywania problemów, oceny, planowania i organizacji pracy,Bardzo dobra organizacja pracy, skuteczność i konsekwencja w realizacji zadań,Dokładność, odpowiedzialność, uczciwość i sumienność,Komunikatywność oraz umiejętności interpersonalne,DyspozycyjnośćOferujemy:Stabilną pracę w firmie o ugruntowanej pozycji na rynku,Zatrudnienie w oparciu o umowę o pracę,Dobre warunki płacowe, adekwatne do umiejętności, zaangażowania i efektów pracy,Niezbędne narzędzia pracy m.in. samochód, telefon,Możliwość skorzystania z oferty dotyczącej dodatkowej opieki medycznej,Szkolenia umożliwiające zdobycie nowych uprawnień finansowane przez pracodawcę,Premie uznaniowe,Możliwość dynamicznego rozwoju zawodowego poprzez realizację ciekawych i wymagających zadań,Dobrą atmosferę i warunki pracy.Więc jeśli jesteś elektrykiem, hydraulikiem, bądź posiadasz umiejętności ""Złotej rączki"", szukasz pracy, chciałbyś się rozwijać i doszkalać w dziedzinie obsługi technicznej nieruchomości, to ta oferta jest dla Ciebie.Osoby niepełnosprawne są mile widzianymi kandydatami.",4100.0,7000.0,zł, mies. brutto,"Warszawa, Targówek",Pełny etat,Umowa o pracę,-4097405721602552678
https://www.olx.pl/oferta/praca/pracownik-ochrony-legnica-praca-wakacyjna-CID4-IDUvEfG.html,2023-05-19, 835256044,Pracownik Ochrony - LEGNICA - praca wakacyjna,Strona główna/Praca/Ochrona/Ochrona - Dolnośląskie/Ochrona - Legnica,http://securitas.olx.pl,Doświadczenie nie jest wymagane,"Jesteśmy skandynawskim koncernem ochrony. Pozycję lidera na światowym rynku zdobyliśmy dzięki naszym pracownikom oraz nowoczesnym, zintegrowanym rozwiązaniom technicznym.
Obecnie do zespołu poszukujemy kandydatów na stanowisko:Pracownik Ochrony - obiekt przemysłowyw okresie wakacyjnym (01.06.2023 - 31.08.2023)Lokalizacja: Legnica Zakres zadań: ochrona mienia przed kradzieżą, dewastacją i włamaniem, kontrola oraz ewidencja osób i pojazdów, monitorowanie bezpieczeństwa na terenie chronionego obiektu, sumienna realizacja obowiązków służbowych.
Poszukujemy osób:niekaranych,potrafiących pracować zespołowo,
komunikatywnych,o wysokiej kulturze osobistej,dyspozycyjnych,ze znajomością obsługi komputera.Mile widziane:doświadczenie w pracy na podobnym stanowisku,status ucznia/studenta.
Oferujemy:umowę zlecenie ze stawką 25 zł/h brutto (dla studentów to stawka NETTO!),gwarancję wypłaty pełnego wynagrodzenia zawsze 10-tego każdego miesiąca,możliwość awansu i rozwoju zawodowego w strukturach firmy,rozbudowany pakiet szkoleń,ubezpieczenie NNW od pierwszego dnia pracy,dofinansowanie do karnetów sportowych.
Zapraszamy do aplikowania osoby chcące pracować w okresie wakacji, by zdobyć doświadczenie.
Kliknięcie przycisku „Wyślij” oznacza, że wyrażasz zgodę na przetwarzanie swoich danych osobowych przez Securitas Polska Sp. z o.o. i Securitas Services Sp. z o.o. z siedzibą w Warszawie przy ul. Postępu 6 dla potrzeb niezbędnych do realizacji procesu rekrutacji.Możesz zapoznać się ze szczegółową polityką ochrony danych osobowych przez spółki Securitas pod adresem: https://www.securitas.pl/Securitas/stand-alone/polityka-prywatnoci/Dane osobowe będą przechowywane przez okres 12 miesięcy od dnia złożenia aplikacji lub do momentu wycofania zgody na przetwarzanie danych osobowych. ",25.0,25.0,zł, godz. brutto,Legnica,Pełny etat,Umowa zlecenie,-837567221267712427
https://www.olx.pl/oferta/praca/kurier-dpd-z-busem-l3h2-olecko-CID4-IDUcHDY.html,2023-05-12, 830502522,Kurier DPD z busem L3H2 Olecko,"Strona główna/Praca/Dostawca, kurier miejski/Dostawca, kurier miejski - Warmińsko-mazurskie/Dostawca, kurier miejski - Olecko",http://dpd.olx.pl,Pojazd służbowy: Nie/Doświadczenie nie jest wymagane,"DPD Polska, lider rynku usług kurierskich, do Oddziału w Ełku poszukuje Kurierów:
Oferujemy: współpracę na podstawie umowy kurierskiej (działalność gospodarcza)gwarancję stałych zleceńmożliwość skorzystania z atrakcyjnej oferty na zakup ubrania kurierskiegomożliwość wynajmu samochodu od DPD Polska na preferencyjnych warunkachwsparcie przy założeniu działalności gospodarczejdostęp do portalu kurierskiego ze zniżkami od partnerów biznesowych DPDmożliwość objęcia prywatną opieką medyczną siebie oraz członków rodzinymożliwość skorzystania z programu Multisportpakiet szkoleńmożliwość rozwoju zawodowego i dalszej stałej współpracy w strukturach DPD Polska
Oczekujemy:zaangażowania, motywacji do działania oraz dyspozycyjnościwysokiej kultury osobistej koniecznej w kontakcie z Klientami DPDsumienności i rzetelnościsamodzielności w działaniu i chęci rozwojuprawa jazdy min. kat. B oraz doświadczenia w prowadzeniu pojazdu
 Zainteresowane osoby prosimy o przesłanie CV poprzez aplikację.

Uprzejmie informujemy, że odpowiemy wyłącznie na wybrane oferty.* Benefity wspomniane w ogłoszeniu są precyzyjnie określone w obowiązujących Regulaminach DPD Polska.
Administratorem Pani/Pana danych osobowych jest DPD Polska Spółka z ograniczoną odpowiedzialnością (DPD) z siedzibą w Warszawie przy ul. Mineralnej 5, 02-274 Warszawa.Podane przez Panią/Pana dane osobowe będą przetwarzane w celu realizacji procesu rekrutacyjnego, a w razie wyrażenia w tym zakresie zgody, także dla celów przyszłych procesów rekrutacyjnych.",,,,,Olecko,Pełny etat,Samozatrudnienie,-735783903560753470
https://www.olx.pl/oferta/praca/przyjme-ucznia-na-praktyki-w-zawodzie-mechanik-CID4-IDP8JFf.html,2023-05-07, 755675297,Przyjmę ucznia na praktyki w zawodzie mechanik,"Strona główna/Praca/Mechanika i lakiernictwo/Mechanik, elektromechanik, wulkanizator/Mechanik, elektromechanik, wulkanizator - Dolnośląskie/Mechanik, elektromechanik, wulkanizator - Stawiec",https://www.olx.pl/oferty/uzytkownik/15X6EW/,Doświadczenie nie jest wymagane,Sokar Serwis przyjmie na praktykę ucznia rozpoczynającego naukę w zawodzie mechanik pojazdów  w zawodowej szkole od września 2023 rWarsztat znajduje się w miejscowości Stawiec.,100.0,500.0,zł, mies. brutto,Stawiec,Praktyka / staż,Inny,-364013064672373261
