,user
0,https://www.olx.pl/oferty/uzytkownik/1x12B/
1,https://www.olx.pl/oferty/uzytkownik/1Slv9/
2,https://www.olx.pl/oferty/uzytkownik/po7Rn/
3,https://www.olx.pl/oferty/uzytkownik/XRXJ/
4,http://action.olx.pl
5,https://www.olx.pl/oferty/uzytkownik/1RxhB/
6,https://www.olx.pl/oferty/uzytkownik/15HLl/
7,https://www.olx.pl/oferty/uzytkownik/A5ftl/
8,https://www.olx.pl/oferty/uzytkownik/xVh5/
9,http://kasastefczyka.olx.pl
10,http://gi-group.olx.pl
11,https://www.olx.pl/oferty/uzytkownik/wkV5/
12,https://www.olx.pl/oferty/uzytkownik/2AB9r/
13,https://sprzedajemy.pl/oferty-uzytkownika-9499217
14,https://sprzedajemy.pl/oferty-uzytkownika-9350905
15,https://sprzedajemy.pl/oferty-uzytkownika-9635862
16,https://sprzedajemy.pl/oferty-uzytkownika-9429124
17,https://sprzedajemy.pl/oferty-uzytkownika-9685626
