word,emotions
$,0
$L,0
$T,0
"1,3-butadien",0
1/2,0
1/3,0
1/4,0
10-godzinny,0
10-kilometrowy,0
100-dolarowy,0
100-kilometrowy,0
100-procentowy,1
1000-kilometrowy,0
12-godzinny,0
12-kilometrowy,0
12-procentowy,0
13-kilometrowy,0
14-kilometrowy,0
15-kilometrowy,0
16-kilometrowy,0
17-kilometrowy,0
18-kilometrowy,0
180°,0
2-kilometrowy,0
2-strzałowy,0
20-kilometrowy,0
20-procentowy,0
24-godzinny,0
3-kilometrowy,0
3-litrowy,0
3-strzałowy,0
30-kilometrowy,0
30-procentowy,0
4-kilometrowy,0
40-kilometrowy,0
40-procentowy,0
5-kilometrowy,0
5-litrowy,0
5-strzałowy,0
50-kilometrowy,0
50-procentowy,0
6-kilometrowy,0
6-procentowy,0
6-strzałowy,0
60-kilometrowy,0
60-procentowy,0
7-kilometrowy,0
7-procentowy,0
7-strzałowy,0
70-kilometrowy,0
70-procentowy,0
8-godzinny,0
8-kilometrowy,0
8-procentowy,0
8-strzałowy,0
80-kilometrowy,0
80-procentowy,0
9-kilometrowy,0
90-kilometrowy,0
90-procentowy,0
A,0
A2,0
ABS,1
ADHD,1
AED,0
AFN,0
AGD,0
AK,0
ALL,0
AMD,0
"AML z t(15;17)(q22,q12)",0
AOA,0
APL,0
ARS,0
ATS,0
AU,0
AUD,0
AV,0
AWG,0
AZN,0
Aborygen,0
Achajowieć,0
Afemininum,0
Afl.,0
Afroamerykaniny,0
Afrykaner,0
Agram,0
Ainur,0
Amazonka,0
Andersen,0
Anglosas,0
Apaczyć,0
Apokalipsa,0
Arab,0
Araukanina,0
Armia Czerwony,0
Armia Krajowy,0
Aryjczyk,0
Arystotele,0
Asnyk,0
Asyn,0
Augustyna,0
Austawa,0
Australijczyk,0
Australium,0
Azjata,0
Aztka,0
Azyt,0
B,0
B$,0
BAM,0
BBD,0
BD,0
BDT,0
BEF,0
BGN,0
BHD,0
BHP,0
BHP-owca,0
BIF,0
BND,0
BOB,0
BRC,0
BRL,0
BSD,0
BST,0
BTN,0
BTU,0
BWP,0
BYR,0
BZD,0
Bachtiny,0
Balrónig,0
Balzak,0
Baranek Boży,0
Bałtowieć,0
Bds$,0
