dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
Dodane Dzisiaj o 13:24,ID: 820026647,"Projekt ""Energetyczny Szczecin"" - Współpracuj z najlepszymi (5-15k)",Strona główna/Praca/Pozostałe oferty pracy/Pozostałe oferty pracy - Zachodniopomorskie/Pozostałe oferty pracy - Szczecin/Pozostałe oferty pracy - Centrum,/oferty/uzytkownik/1rFj7X/,Doświadczenie nie jest wymagane,"Jesteśmy największą międzynarodową firmą energetyczna w Europie.Od ponad 20 lat pomagamy przedsiębiorcom w Polsce zoptymalizować koszty energii i gazu w swoich firmach.Nasza sieć liczy 31 biur i ponad 300 doradców w Polsce. W związku z dynamicznym rozwojem oraz sytuacją energetyczną w regionie zatrudnimy 5 doradców ds. klienta biznesowego.Oferujemy:rewelacyjne zarobki (5-15k)możliwość rozwoju osobistegostabilne zatrudnienienajlepszy pakiet szkoleń w Polsce w tym: szkolenia sprzedażowe, coachingowe oraz coaching indywidualnymożliwość szybkiego awansu w strukturach firmynajlepszą atmosferęeventy i wyjazdy integracyjnepracę w młodym zespolenajlepszy produkt na rynkuwolne weekendyZ nami urośniesz, a Twoja wartość rynkowa w ciągu roku wzrośnie o 100%Oczekujemy:dyspozycyjności (poniedziałek - piątek)komunikatywnościzaangażowaniaumiejętności pracy w zespoległodu sukcesuNie wymagamy od Ciebie doświadczenia. Wszystkiego Cię nauczymy.Aplikuj już teraz! Ilość miejsc jest ograniczona. Prosimy o załączenie w swojej aplikacji klauzuli o przetwarzaniu danych osobowych:Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji (zgodnie z ustawą z dnia 10 maja 2018 roku o ochronie danych osobowych (Dz. Ustaw z 2018, poz. 1000) oraz zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO).",3500,8000,zł, mies. brutto,"Szczecin, Centrum",Pełny etat,Umowa zlecenie,3502939277270077032
Dodane Dzisiaj o 11:18,ID: 837009847,Pracownik budowlany,Strona główna/Praca/Budowa / remonty/Budowa / remonty - Opolskie/Budowa / remonty - Głuszyna,/oferty/uzytkownik/2OhZ/,Odpowiednie doświadczenie zawodowe,Poszukiwany pracownik do firmy remontowo-budowlanej. Mile widziane doświadczenie. Praca od zaraz. Więcej info pod nr.tel 69*******04,3500,4500,zł, mies. brutto,Głuszyna,Pełny etat,Umowa o pracę,6181023643886341105
Dodane Dzisiaj o 12:12,ID: 758445776,Barista Green Caffè Nero Warszawa Wola,"Strona główna/Praca/Gastronomia/Kelner, barman, barista/Kelner, barman, barista - Mazowieckie/Kelner, barman, barista - Warszawa/Kelner, barman, barista - Białołęka",http://greencaffenero.olx.pl,Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy,"Dołącz do naszego zespołu ludzi z pasją do kawy!Zostań BARISTĄ - specjalistą od jej przygotowania i serwowaniaoraz umilania innym życia.Odnajdziesz się w naszym Zespole jeśli charakteryzują Cię te cechy :- Pracowitość, uczciwość i umiejętność współpracy w zespole- nie musisz mieć doświadczenia, wszystkiego nauczymy Cię od podstaw-Pozytywna energia, uśmiech, dokładność, odpowiedzialność, zaangażowanie-Gotowość do pracy w dynamicznym środowisku-Chęć podjęcia dłuższej współpracy w elastycznych godzinach ( praca zmianowa: we wczesnych godzinach porannych, późnych godzinach wieczornych, w weekendy i święta)-Łatwość w nawiązywaniu nowych kontaktów-Otwartość na nowe doświadczenia-Gotowość do rozwoju, pozyskiwania nowej wiedzy, poszerzania swoich umiejętności.Te zadania będą przez Ciebie realizowane:- Budowanie relacji z naszymi Gośćmi, zapewnienie im pozytywnych przeżyć związanych z wizytą w kawiarni poprzez miłą obsługę na profesjonalnym i wysokim poziomie.-Przygotowywanie kaw, herbaty, innych napoi oraz posiłków (m.in. kanapek) zgodnie ze standardami-Aktywna sprzedaż produktów-Wykonywanie bieżących zadań w kawiarni m.in. dbanie o sprzęty, utrzymywanie porządku na stanowisku pracy.-Dbanie o czystość w lokalu poprzez wykonywanie czynności jak sprzątanie sali i stolików, zmywanie naczyń czy wynoszenie śmieciTakie mamy dla Ciebie propozycje:- Możliwość dostosowania grafiku do potrzeb czasowych- Umowa zlecenie pozwalająca łączyć pracę ze studiami lub innymi aktywnościami życiowymi.-Stawkę godzinową, premię uznaniową - zawsze wypłacane na czas- Zniżki pracownicze- obowiązujące w sieci Caffe Nero-Ubezpieczenie od Następstw Nieszczęśliwych Wypadków-Profesjonalne szkolenia związane z awansem i rozwojem oraz warsztaty poszerzające wiedzę i umiejętności kawowe- Codzienne wsparcie zespołu- dużo pozytywnej energii, którą zarażamy każdego-Możliwość odbywania staży i praktyk- Realna możliwość awansu i rozwoju dla najbardziej zaangażowanych- Dostęp do platformy e-learningowej umożliwiającej naukę, szkolenia, rozwój, poszerzanie kompetencji.-Program Poleceń Pracowniczych- premie za polecanie znajomych do pracy-Możliwość uczestniczenia w cyklicznych imprezach integracyjnych-Firmowa drużyna sportowa-Możliwość uczestniczenia w kursach językowychAplikuj i dołącz do Zespołu ludzi których łączy pasja do kawy, zarażaj innych pozytywną energią, parz najlepszą kawę w mieście!Obiecujemy, że:- poczujesz pozytywne wibracje od samego wejścia,- sam dopasujesz godziny pracy do swojego trybu życia lub zajęć na studiach,- zdobędziesz u nas fachową wiedzę, zanim rzucimy Cię na głęboką wodę.. tzn. kawę,- z nami rozwiniesz swoje pasje i awansujesz na kolejne stanowiska,- dowiesz się dlaczego ""cała nadzieja w kawie"".",22.80,26,zł, godz. brutto,"Warszawa, Białołęka",Niepełny etat,Umowa zlecenie,-7083204084351879906
Dodane Dzisiaj o 10:56,ID: 824135020,Planista produkcji,Strona główna/Praca/Produkcja/Zarządzanie produkcją/Zarządzanie produkcją - Kujawsko-pomorskie/Zarządzanie produkcją - Inowrocław,/oferty/uzytkownik/11sPD/,Doświadczenie nie jest wymagane,"Firma Opakmet Sp. z o.o. Sp. k. od 40 lat jest liderem w technologii obróbki blach, świadcząc swoje usługi dla przemysłu kolejowego, medycznego, maszynowego i budowlanego.Zatrudniamy ponad 350 pracowników. Działamy w oparciu o technologię obróbki blach, obróbki skrawaniem oraz przede wszystkim spawania. Zdobywaj doświadczenie w rozwojowej branży. Dołącz do nas! Szukamy pracownika na stanowisko: PLANISTA PRODUKCJIMiejsce pracy: Inowrocław Zgłoś się do nas, jeśli:masz wykształcenie średnie,jesteś dokładny i posiadasz zdolności organizacyjne,posiadasz umiejętności analityczne,w podstawowym zakresie obsługujesz komputer MS Office, Excell,ucieszy nas Twoja znajomość programów AutoCad i Inventor,mile widziana znajomość branży metalowej.Do Twoich zadań będzie należało:planowanie operacji na produkcji,tworzenie i aktualizacja kart pracy,uruchamianie zleceń produkcyjnych.Co oferujemy?umowa o pracę i stały etat po okresie próbnym,pracę na nowoczesnych maszynach i sprzęcie,dobre warunki wynagrodzenia,łatwy dojazd do firmy (przy obwodnicy, autobus miejski nr 1, 10), parking firmowy,nagrody w programie „innowacyjność”,szkolenia zawodowe i możliwość rozwoju,pakiety medyczne,możliwość dofinansowania nauki,preferencyjne warunki ubezpieczeń,dobra atmosfera pracy,spotkania integracyjne. ZADZWOŃ: (52) 359 30 36APLIKUJ PRZEZ OLXAdministratorem danych jest Opakmet spółka z ograniczoną odpowiedzialnościąspółka komandytowa z siedzibą przy ul. ul. Karola Marcinkowskiego 110,88-100 Inowrocław.Dane zbierane są dla potrzeb rekrutacji. Ma Pani/Pan prawo dostępu do treści swoich danych oraz ich poprawiania. Podanie danych w zakresie określonym przepisami ustawy z dnia 26 czerwca 1974 r. Kodeks pracy oraz aktów wykonawczych jest obowiązkowe. Podanie dodatkowych danych osobowych jest dobrowolne.",,,,,Inowrocław,Pełny etat,Umowa o pracę,-249662670223367011
Dodane Dzisiaj o 11:12,ID: 815374218,Praca sprzedawca- kasjer,"Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Wielkopolskie/Doradca klienta, sprzedawca - Jarocin",/oferty/uzytkownik/1KrrP/,System wynagrodzeń: Podstawa + prowizja/Samochód służbowy: Nie/Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Zapraszamy seniorów,Poszukujemy pracowników do sklepu Intermarche w Jarocinie na stanowisko sprzedawca - kasjer. Praca w dowolnym wymiarze również dla uczniów ni studentów w weekendy.Od kandydata oczekujemy.OdpowiedzialnościZaangażowaniaSystematycznościUmiejętności komunikacji z współpracownikami i klientamiChęci do naukiOferujemy:Stałe zatrudnienieAtrakcyjne wynagrodzenie uzależnione od kompetencji kandydataPracę w atmosferze współpracy i zaufaniaWymagane Ważne badania sanitarno-epidemiologiczne,3490,3800,zł, mies. brutto,Jarocin,Pełny etat,Umowa o pracę,-1477078147984494311
Dodane Dzisiaj o 12:12,ID: 789400834,Zastępca Kierownika Restauracji - Hotel ALTUS PALACE 5* Wrocław!,Strona główna/Praca/Hotelarstwo/Obsługa hotelowa/Obsługa hotelowa - Dolnośląskie/Obsługa hotelowa - Wrocław/Obsługa hotelowa - Śródmieście,/oferty/uzytkownik/1gwnFU/,Odpowiednie doświadczenie zawodowe/Praca zmianowa/Praca w weekendy,"Grupa Dobry HotelJesteśmy polską siecią hoteli obecną na rynku od 18 lat. Zarządzamy 17 obiektami hotelowymi oraz 1 niezależną restauracją i stale rośniemy! Dołącz do naszego zespołu i buduj z nami te niezwykłe miejsca!Do naszego 5* Hotelu Altus Palace, mieszczącego się w dawnym Pałacu Leipzigera przy ul. Wierzbowej we Wrocławiu, poszukujemy pełnego pasji kandydata/tki na stanowisko:Zastępca Kierownika RestauracjiCo możemy Ci zaoferować?pełne wsparcie podczas wdrożenia w obowiązkizatrudnienie na podstawie umowy o pracę lub B2Bstrój służbowy oraz posiłki pracowniczebogaty pakiet benefitów (grupowe ubezpieczenie na życie, karta multisport, prywatna opieka medyczna)zniżki na usługi hotelowe i gastronomiczne w ramach Grupy Dobry Hotelwewnętrzne programy bonusowe (np. „pracownik miesiąca”)możliwość skorzystania z atrakcyjnych zniżek na studia w Wyższej Szkole Bankowejszanse rozwoju zawodowego w obszarze Grupy Dobry Hotelprzyjazną i otwartą atmosferę pracy :)Co będzie należało do Twoich obowiązków?nadzorowanie pracy restauracjiodpowiedzialność za organizację czasu pracy własnego i zespołuobsługa Gości restauracji zgodnie z przyjętymi standardamiplanowanie dostawdbanie o wystrój, estetykę oraz porządek w restauracji i zapleczuCo jest dla nas ważne?doświadczenie na podobnym stanowiskuumiejętność motywowania pracowników oraz zarządzania pracą podległego zespołuumiejętność zarządzania kosztami w gastronomiibardzo dobra znajomość j. angielskiegoznajomość standardów obsługi Gościa w hotelu 5*Jeśli czujesz, że chciałbyś/abyś być częścią naszego zespołu, wyślij nam swoją aplikację!W związku z obowiązywaniem RODO prosimy o zamieszczenie w CV oświadczenia o następującej treści oraz o zapoznanie się z poniższymi informacjami:„Oświadczam, że zapoznałam/em się z treścią klauzuli informacyjnej dotyczącej rekrutacji w systemie internetowym. Na podstawie art. 6 ust. 1 lit. a) RODO oświadczam, iż wyrażam zgodę na przetwarzanie przez Administratora, którym jest Altus Palace spółka z ograniczoną odpowiedzialnością sp.k. moich danych osobowych w celu przeprowadzenia procesu rekrutacji na aplikowane stanowisko, w tym w szczególności numeru telefonu, adresu e-mail, adresu zamieszkania, informacji o wcześniejszym zatrudnieniu i innych danych ujawnionych w przesłanym CV, w tym również zamieszczenia tam zdjęcia (wizerunku). Niniejsza zgoda została wyrażona dobrowolnie”.Jednocześnie informujemy, że CV niezawierające powyższego oświadczenia nie będą brane pod uwagę w procesie rekrutacji.Zgodnie z art. 13 ust. 1 i 2 rozporządzenia Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (ogólne rozporządzenie o ochronie danych) – dalej RODO, informujemy, że Administratorem Pani/Pana danych osobowych jest Altus Palace spółka z ograniczoną odpowiedzialnością sp.k. z siedzibą w Sopocie (81-762) ul. Gen. Pułaskiego 18-20, wpisana do rejestru przedsiębiorców Krajowego Rejestru Sądowego prowadzonego przez Sąd Rejonowy Gdańsk – Północ w Gdańsku, VIII Wydział Gospodarczy Krajowego Rejestru Sądowego pod numerem 36021 2, posiadająca numer identyfikacji podatkowej (NIP) 585145587  8, REGON 221 05 19 40  .1.       Pani/Pana dane osobowe przetwarzane będą w celu przeprowadzenia procesu rekrutacji na aplikowane stanowisko na podstawie art. 6 ust. 1 lit. a) RODO, na podstawie Pani/Pana dobrowolnej zgody. Pani/Pana dane osobowe będą przechowywane przez okres tej i przyszłych rekrutacji, nie dłużej jednak niż przez okres 3 lat,2.       posiada Pani/Pan prawo dostępu do treści swoich danych oraz prawo ich sprostowania, usunięcia, ograniczenia przetwarzania, prawo do przenoszenia danych, prawo wniesienia sprzeciwu, prawo do cofnięcia zgody na ich przetwarzanie w dowolnym momencie bez wpływu na zgodność z prawem przetwarzania, którego dokonano na podstawie zgody wyrażonej przed jej cofnięciem. Oświadczenie o cofnięciu zgody na przetwarzanie danych osobowych wymaga jego złożenia w formie pisemnej na adres siedziby Administratora danych lub elektronicznie na adres e-mail: rodo[at]dobryhotel.com. Ponadto dane osobowe mogą być przetwarzane na podstawie art. 6 ust. 1 lit. f) RODO w prawnie uzasadnionych interesach realizowanych przez Administratora, w tym w celu ustalenia, dochodzenia lub obrony roszczeń, do czasu ich wygaśnięcia. W przypadku wniesienia sprzeciwu przestaniemy przetwarzać Pani/Pana dane osobowe w ww. celach, chyba że będziemy w stanie wykazać, że w stosunku do Pani/Pana danych osobowych istnieją dla nas ważne prawnie uzasadnione podstawy, które są nadrzędne wobec Pani/Pana interesów, praw i wolności lub Twoje dane będą nam niezbędne do ewentualnego ustalenia, dochodzenia lub obrony roszczeń,3.       ma Pani/Pan prawo do wniesienia skargi do Prezesa Urzędu Ochrony Danych Osobowych, gdy uzna Pani/Pan, iż przetwarzanie danych osobowych Pani/Pana dotyczących narusza przepisy RODO,4.       podanie przez Panią/Pana danych osobowych jest dobrowolne, ale konieczne dla celów związanych z przeprowadzeniem procesu rekrutacji na aplikowane stanowisko,5.       odbiorcami Pani/Pana danych osobowych będą wyłącznie podmioty uprawnione do uzyskania danych osobowych na podstawie przepisów prawa oraz podmioty współpracujące z Administratorem w procesie rekrutacji,Pani/Pana dane osobowe nie będą przetwarzane w sposób zautomatyzowany i nie będą profilowane",,,,,"Wrocław, Śródmieście",Pełny etat,Umowa o pracę,821004444532271785
Dodane Dzisiaj o 13:12,ID: 831898071,Przedstawiciel Handlowy / AUTO / Wysokie Prowizje /,Strona główna/Praca/Sprzedaż/Przedstawiciel handlowy/Przedstawiciel handlowy - Pomorskie/Przedstawiciel handlowy - Gdańsk/Przedstawiciel handlowy - Oliwa,/oferty/uzytkownik/1FmREl/,System wynagrodzeń: Tylko prowizja/Samochód służbowy: Tak/Doświadczenie nie jest wymagane,"Praca polega na odbywaniu spotkań w celu przedstawiania oferty osobom zainteresowanym założeniem pompy ciepła (ewentualnie fotowoltaiki, magazynu energii).

Na podstawie konkretnych informacji należy stworzyć najbardziej optymalną ofertę dla klienta i podpisać umowę.

Dlatego poszukujemy przede wszystkim osób: ambitnych, chcących od życia więcej niż 4000 na podstawie i pracy za biurkiem, szukających możliwości rozwoju w sprzedaży/biznesie oraz lubiących kontakt z drugim człowiekiem.

Nasze Wymagania:

	•	silna orientacja na realizacje założonych celów sprzedażowych

	•	chęć do rozwoju kompetencji w zakresie sprzedaży

	•	pełna dyspozycyjność

	•	min. wykształcenie średnie

	•	niekaralność

	•	prawo jazdy kat. B

	•	znajomość pakietu Office

Oferujemy:

	•	Pracę w dynamicznie rozwijającej się w firmie, z przyjazną atmosferą i młodym zespołem

	•	Atrakcyjne wynagrodzenie (7 000zł - bez górnego limitu)

	•	Program samochodowy

	•	Cotygodniowe szkolenia sprzedażowe

	•	Możliwość zebrania cennego doświadczenia

	•	Programy premiowe

	•	Atrakcyjne bonusy

	•	Wsparcie doświadczonego menedżera

Nie wymagamy żadnego doświadczenia, wszystkiego Cię nauczymy!

Aplikacja na nasze stanowisko wiąże się ze zgodą na przetwarzanie danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO).",7000,20000,zł, mies. brutto,"Gdańsk, Oliwa",Pełny etat,Samozatrudnienie,-5382738930015432166
Dodane Dzisiaj o 13:31,ID: 786649091,Praca biurowa przy komputerze,"Strona główna/Praca/Administracja biurowa/Administracja, prace biurowe/Administracja, prace biurowe - Łódzkie/Administracja, prace biurowe - Łódź/Administracja, prace biurowe - Górna",/oferty/uzytkownik/Q4tfX/,Doświadczenie nie jest wymagane,Zatrudnię osobę do pracy biurowej . Wymagana dobra znajomość obsługi komputera i dobra znajomość j.angielskiego. Oferujemy korzystne warunki pracy i płacy. Praca od poniedziałku do piątku w godz. 9-17. Mile widziane osoby studiujące. Kontakt tel. pod nr 60*****52,,,,,"Łódź, Górna",Pełny etat,Inny,9209716424894503185
Dodane Dzisiaj o 13:40,ID: 645451374,Opiekunka dziecięca - Warszawa,Strona główna/Praca/Opieka/Opieka nad dziećmi/Opieka nad dziećmi - Mazowieckie/Opieka nad dziećmi - Warszawa/Opieka nad dziećmi - Mokotów,/oferty/uzytkownik/Cnl9w/,Doświadczenie nie jest wymagane,"Firma z wieloletnim doświadczeniem zatrudni opiekunkę dziecięcą do pracy w żłobku na warszawskim Mokotowie. Praca od poniedziałku do piątku po 8 godzin dziennie. Oferujemy umowę o pracę na pełen etat od zaraz. Wynagrodzenie zależne od wykształcenia i doświadczenia zawodowego od 4590-5280, z czego podstawa wynagrodzenia to 3800 - 4500 zł brutto plus dodatkowo comiesięczna premia uznaniowa 500 zł netto.Oferujemy:• stabilne zatrudnienie w oparciu o umowę o pracę,• co 12 miesięcy podwyżka 100 zł brutto do osiągnięcia 200 zł brutto zarówno w wynagrodzeniu jak i premii,• dodatek do wynagrodzenia: po 3 latach +10% wynagrodzenia zasadniczego i wzrasta z każdym kolejnym rokiem o 2%, maksymalnie do 30%,• dofinansowanie raz w roku wypoczynku pracownika: 800 zł,• pracownikom chętnym na rozwijanie kwalifikacji firma daje możliwość dofinansowania do studiów, kursów itp. w wysokości do 50%,• dofinansowanie do kart MultiSport w wysokości 50%,• darmowe obiady z naszego cateringu,• dla dzieci pracowników darmowe miejsca w naszych żłobkach i przedszkolach.Wymagania: Chęć do pracy z dziećmi, pozytywne nastawienie, kreatywność. Mile widziane doświadczenie, kurs opiekuna w żłobku lub posiadanie kwalifikacji nauczyciela/pedagoga.Prosimy o przesyłanie CV.",4590,5280,zł, mies. brutto,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,442731021593362159
Dodane Dzisiaj o 13:20,ID: 766661535,Pracownik linii sortującej kwiaty,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Wielkopolskie/Obsługa produkcji - Plewiska,/oferty/uzytkownik/4BB6c/,Doświadczenie nie jest wymagane,"Firma Import-Export Włodzimierz Grajek jest jedną z największych firm w Polsce w branży kwiatowej. Firma działa od 30 lat na terenie całej Polski. Importujemy kwiaty z całego Świata głownie z Holandii, ale również bezpośrednio z Włoch, Hiszpanii, Belgii , Danii, Anglii, Kolumbii, Ekwadoru, Kenii, Etiopii. Naszymi odbiorcami kwiatów są; hurtownie, kwiaciarnie, dyskonty, markety, i supermarkety. W związku z rozwojem firmy poszukujemy pracowników na stanowisko: Pracownik linii sortującej kwiatyPraca na terenie Plewisk pod Poznaniem.Zakres obowiązków:Praca przy linii produkcyjnej (konfekcjonowanie bukietów)Przestrzeganie i realizacja planu produkcyjnegoPrzygotowywanie towarów do wysyłkiPraca w systemie jedno zmianowymNasze wymagania:        Mile widziane doświadczenie na podobnym stanowisku       Dobra organizacja pracy własnej i umiejętność współpracy z zespołem,        Znajomość języka polskiegoOferujemy:        Umowę o pracę w firmie o ugruntowanej pozycji na rynku,        Możliwość rozwoju zawodowego oraz zdobywania doświadczenia,        Niezbędne narzędzia do wykonywania pracy,",,,,,Plewiska,Pełny etat,Umowa o pracę,-5238372790940257931
