link,dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
https://www.olx.pl/oferta/praca/hydraulik-od25do30-krakow-CID4-IDRyfAE.html,2023-05-10, 791308892,Hydraulik od25do30 Kraków,Strona główna/Praca/Pozostałe oferty pracy/Pozostałe oferty pracy - Małopolskie/Pozostałe oferty pracy - Kraków/Pozostałe oferty pracy - Bieżanów-Prokocim,https://www.olx.pl/oferty/uzytkownik/2XiZB/,Odpowiednie doświadczenie zawodowe,Praca od zaraz przyjmę hydraulików do pracy więcej informacji pod numerem telefonu 50*******72,25,30,zł, godz. brutto,"Kraków, Bieżanów-Prokocim",Pełny etat,Umowa o pracę,-3685239183521540842
https://www.olx.pl/oferta/praca/praca-przy-borowce-p-CID4-IDL4kz9.html,2023-05-13, 695520163,Praca przy borówce/Pобота з чорницею,Strona główna/Praca/Rolnictwo i ogrodnictwo/Rolnictwo i ogrodnictwo - Łódzkie/Rolnictwo i ogrodnictwo - Krośniewice,https://www.olx.pl/oferty/uzytkownik/2PIjP/,Doświadczenie nie jest wymagane,"візьмуть на роботу чорницю та інші медсестри. Додаткову інформацію надам по телефону

Praca przy zbiorze i pielegnacji borówki. Wiecej informacji udziele telefonicznie. Przyjme 10 osób od 15 czerwca",,,,,Krośniewice,Dodatkowa / sezonowa,Inny,-7252431438790693213
https://www.olx.pl/oferta/praca/operator-maszyn-cnc-CID4-IDUe3KS.html,2023-05-13, 830825846,Operator maszyn CNC,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Lubuskie/Obsługa produkcji - Kostrzyn nad Odrą,http://telemond.olx.pl,Odpowiednie doświadczenie zawodowe,"Jesteśmy jednym z najbardziej cenionych w Europie usługodawców w zakresie konstrukcji stalowych. W naszych zakładach w Polsce, w Kostrzynie n/O i Szczecinie zatrudniamy łącznie ponad 1000 pracowników. Choć jest nas tak dużo to nadal jesteśmy firmą rodzinną, liczy się dla nas każdy pracownik, dobra atmosfera pracy oraz rozwój. Wspólnie kształtujemy przyszłość technologiczną sektora konstrukcji stalowych, korzystając z najnowszych technologii oraz potencjału naszego zespołu.

Operator maszyn CNC

Czym się będziesz zajmować:
• Obsługą maszyn CNC
• Doborem narzędzi i parametrów skrawania
• Ustawianiem i wykonywaniem detalu zgodnie z dokumentacją techniczną
• Kontrolą jakościową wykonywanych elementów
• Pomiarem wykonanych detali przy użyciu narzędzi.

Jakie wymagania musisz spełniać:
• Doświadczenie na podobnym stanowisku
• Umiejętność posługiwania się przyrządami pomiarowymi
• Uprawnienia UDT na suwnice (mile widziane)
• Znajomość rysunku technicznego (mile widziana)
• Wykształcenie minimum zawodowe o kierunku technicznym.

Co oferujemy:
• Atrakcyjne wynagrodzenie połączone z bogatym pakietem premii (miesięcznych i rocznych), dodatków urlopowych i nagród
• Bogaty pakiet socjalny (prywatna opieka medyczna, ubezpieczenie na życie, dofinansowanie wypoczynku dla dzieci, paczki na święta, bezzwrotna pomoc w sytuacjach losowych)
• Szkolenia, programy rozwoju miękkich kompetencji, szkolenia językowe
• Pikniki rodzinne, wsparcie finansowe udziału w firmowych zawodach sportowych
• Dobrą, pełną szacunku atmosferę pracy, docenienie zaangażowania każdego pracownika, wsparcie i rozwój.",,,,,Kostrzyn nad Odrą,Pełny etat,Umowa o pracę,-6175653129541548216
https://www.olx.pl/oferta/praca/ochrona-dyskontu-spozywczego-targowek-radzyminska-praca-od-zaraz-CID4-IDUht1h.html,2023-05-17, 831637947,"Ochrona dyskontu spożywczego - Targówek Radzymińska, praca od zaraz!",Strona główna/Praca/Ochrona/Ochrona - Mazowieckie/Ochrona - Warszawa/Ochrona - Targówek,http://securitas.olx.pl,Doświadczenie nie jest wymagane,"Jesteśmy skandynawskim koncernem ochrony. Pozycję lidera na światowym rynku zdobyliśmy dzięki naszym pracownikom oraz nowoczesnym, zintegrowanym rozwiązaniom technicznym.Obecnie do zespołu na obiekcie handlowym poszukujemy kandydatów na stanowisko:Pracownik Ochrony (linia kas samoobsługowych i tradycyjnych - praca stojąco-chodząca)
LOKALIZACJA:Warszawa - Targówek
ul. Radzymińska

Co możemy Ci zaoferować?​pracę od zaraz,umowę zlecenie,
kompletne i bezpłatne umundurowanie,
brak kar finansowych,
terminowe wypłacanie wynagrodzenia zawsze do 10-go każdego miesiąca,ubezpieczenie NNW (od Następstw Nieszczęśliwych Wypadków).
Aplikuj, jeśli jesteś osobą:chcącą poszerzyć lub zdobyć doświadczenie zawodowe,znającą obsługę pakietu MS Office,potrafiącą pracować zespołowo.
Twoje przyszłe zdania:monitorowanie stanu bezpieczeństwa na terenie chronionego obiektu,obchody linia kas,ochrona mienia przed dewastacją i włamaniem,prowadzenie dokumentacji służbowej.
Jeśli czujesz, że ta praca jest dla Ciebie i chcesz się sprawdzić na tym stanowisku - APLIKUJ DO NAS!Możesz to zrobić poprzez:wysłanie CV – przycisk aplikuj,kontakt telefoniczny pod numerem telefonu: 6-9-0-1-0-2-6-8-9 (KONTAKT OD PONIEDZIAŁKU DO PIĄTKU 8-16).
Kliknięcie przycisku „Wyślij” oznacza, że wyrażasz zgodę na przetwarzanie swoich danych osobowych przez Securitas Polska Sp. z o.o. i Securitas Services Sp. z o.o. z siedzibą w Warszawie przy ul. Postępu 6 dla potrzeb niezbędnych do realizacji procesu rekrutacji.Możesz zapoznać się ze szczegółową polityką ochrony danych osobowych przez spółki Securitas pod adresem: https://www.securitas.pl/Securitas/stand-alone/polityka-prywatnoci/Dane osobowe będą przechowywane przez okres 12 miesięcy od dnia złożenia aplikacji lub do momentu wycofania zgody na przetwarzanie danych osobowych.",,,,,"Warszawa, Targówek",Pełny etat,Umowa zlecenie,-2142370399646290283
https://www.olx.pl/oferta/praca/monter-elektromonter-instalacji-pv-oze-fotowoltaika-CID4-IDLF9Y1.html,2023-05-18, 704297557,Monter/Elektromonter Instalacji PV | OZE Fotowoltaika,Strona główna/Praca/Energetyka/Odnawialna/Odnawialna - Mazowieckie/Odnawialna - Warszawa/Odnawialna - Ursynów,https://www.olx.pl/oferty/uzytkownik/2yBlW/,Odpowiednie doświadczenie zawodowe,"zielonyVOLT.plOd 2015 r. wiodący instalator rozwiązań opartych na OZE. Jeden z pierwszych i najbardziej doświadczonych podmiotów na rynku. Szeroka oferta obejmuje nie tylko instalacje fotowoltaiczne i pompy ciepła, ale także stacje ładowania elektryków, magazyny energii oraz rozwiązania indywidualne, jak wiaty solarne. W zielonyVOLT.pl projekty wykonujemy samodzielnie, posiadamy własne brygady montażowe. Cenimy wysoką jakość, komfort pracy, a także nieformalną atmosferę pracy w młodym, dynamicznym zespole. Zapewniając Klientom dostęp do przyszłości, wierzymy, że dokładamy swoją cegiełkę w budowie lepszego jutra, z tańszą i bardziej ekologiczną energią.Obecnie poszukujemy doświadczonych i samodzielnych osób na stanowisko:MONTER / ELEKTROMONTER INSTALACJI FOTOWOLTAICZNYCH (OZE, PV)Miejsce pracy: Warszawa, woj. mazowieckieTwój zakres obowiązków:Montaż konstrukcji wsporczych dla instalacji fotowoltaicznych dachowych i naziemnychMontaż modułów fotowoltaicznych, optymalizatorów mocyWykonanie tras kablowych, montaż okablowaniaStosowanie się do instrukcji montażowych, norm i zasad wiedzy technicznejPrzygotowanie miejsca instalacji i jego uprzątnięcie po zakończeniu pracPrzestrzeganie zasad BHPBudowanie pozytywnego wizerunku firmy w trakcie obecności u KlientaPraca w 3-osobowej brygadzieNasze wymagania:Minimum rok doświadczenia w montażu instalacji fotowoltaicznych (warunek konieczny)Brak przeciwskazań do pracy na wysokości powyżej 3 mBrak lęku wysokościWzorowa organizacjaBrak przeciwwskazań do przenoszenia ciężkich elementów (15-20 kg)Pełna dyspozycyjność oraz gotowość do częstych wyjazdów i pracy terenowejBrak uciążliwych nałogówMile widziane doświadczenie dekarskieUprawnienia SEP do 1kV i/lub UDT, a także prawo jazdy kat. B będą dodatkowymi atutamiTo oferujemy:Stabilne zatrudnienie w firmie o ugruntowanej pozycji rynkowej ze stałym dopływem zleceńProfesjonalne narzędzia pracyNowy samochód dla brygady na startWsparcie działu projektowego oraz schematy i wizualizacje projektowe dla każdego montażuMiłą atmosferę pracy w dynamicznym środowisku i bardzo przyszłościowej branżyBrzmi interesująco? Aplikuj do nas przesyłając swoje CV.W zgłoszeniu prosimy o dopisanie klauzuli:Wyrażam zgodę na przetwarzanie moich danych osobowych zawartych w mojej ofercie pracy dla potrzeb niezbędnych do realizacji procesu rekrutacji",6000,10000,zł, mies. brutto,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,1896371415290046963
https://www.olx.pl/oferta/praca/instalator-sieci-swiatlowodowych-CID4-IDLqEry.html,2023-04-24, 700839788,Instalator sieci światłowodowych,Strona główna/Praca/IT / telekomunikacja/Wsparcie techniczne/Wsparcie techniczne - Lubelskie/Wsparcie techniczne - Zamość,https://www.olx.pl/oferty/uzytkownik/OvbLk/,Doświadczenie nie jest wymagane,"Firma OPTIQ S.P. z o.o. Grabów nad Prosną zatrudni na stanowisko:Instalator sieci światłowodowych i przyłączy światłowodowych na terenie Zamościa i ościennych gmin.Ze względu na szybki rozwój i wiele nowych kontraktów, poszukujemy kandydatów na w/w stanowisko.Co proponujemy?1. Forma współpracy: dowolna - umowa o pracę, zlecenie, bądź współpraca B2B2. Zarobki: od 3500 zł netto do nawet 6 000 zł netto/miesięcznie3. Miejsce pracy: +/- do 50kmZamość (powiat zamojski)4. Premie uznaniowe: od ilości zrealizowanych adresów oraz systematykę pracy5. Dodatki: auto firmowe, telefon firmowy, sprzęt do pracy,7. Szkolenia i certyfikaty: poszerzamy kompetencje naszych pracowników wysyłając ich na dodatkowe szkoleniaCzego oczekujemy?1. Zakres obowiązków:- montaż instalacji teletechnicznych- spawanie światłowodów- podwieszanie światłowodów pod słupy telekomunikacyjne- wykonywanie światłowodowych instalacji abonenckich- wykonywanie pomiarów światłowodów z użyciem specjalistycznych mierników- montaż i konfiguracja urządzeń i usług telekomunikacyjnych u abonentów (modemy, routery, etc.)-wykonywanie przyłączy światłowodowych- instalacje teletechniczne wewnątrz-budynkowe- CODZIENNE raportowanie wykonanych prac – w formie fotografii z punktu2. Wymagania:- podstawowa znajomość zagadnień telekomunikacyjnych,- umiejętność posługiwania się elektronarzędziami,- umiejętność pracy w zespole i klientem indywidualnym,- umiejętność konfiguracji routerów,- prawo jazdy kat. B – WARUNEK KONIECZNY !- mile widziane SEP,PRACA OD ZARAZ !Preferowany kontakt mailowy.Cv wraz z klauzulą zachowania poufności proszę wysłać na podany adres.",3500,6000,zł, mies. brutto,Zamość,Pełny etat,Umowa o pracę,2162038004975778142
https://www.olx.pl/oferta/praca/projektant-asystent-projektanta-instalacji-sanitarnych-CID4-IDUtK06.html,2023-05-09, 834563158,Projektant / Asystent projektanta instalacji sanitarnych,Strona główna/Praca/Inżynieria/Inżynieria - Kujawsko-pomorskie/Inżynieria - Toruń,https://www.olx.pl/oferty/uzytkownik/rtoG8/,Odpowiednie doświadczenie zawodowe,"Oferta pracy dla:Projektant / Asystent projektanta instalacji sanitarnychTedimex Maria Karwowska, Tadeusz Karwowski S.J.Miejsce pracy: ToruńOpis stanowiska:·      Projektowanie instalacji wod-kan, ogrzewania, gazu, klimatyzacji i wentylacji·      Koordynacja projektów z innymi branżami·      Uczestnictwo w naradach koordynacyjnych w siedzibie firmy, w biurach klientów oraz na budowach·      Praca stacjonarna oraz wyjazdy na budowy·      Wyjazdy na inwentaryzacje budowlaneWymagania:·        Wykształcenie wyższe - kierunek Inżynieria środowiska·        Minimum roczne doświadczenie w projektowaniu w branży sanitarnej·        Sprawne projektowanie w AutoCAD, Instalsoft, znajomość pakietu MS Office·        Prawo jazdy kat. B·        Umiejętność samodzielnej organizacji pracy·        Umiejętność samodzielnego rozwiązywania problemówOferujemy:·        Stabilną pracę w prężnie działającej firmie·        Zatrudnienie w oparciu o umowę o pracę w pełnym wymiarze godzin·        Praca w godzinach od 8-16·        Możliwość odbycia praktyki niezbędnej do zdobycia uprawnień budowlanych",,,,,Toruń,Pełny etat,Umowa o pracę,4236352801399499683
https://www.olx.pl/oferta/praca/pracownik-w-sklepie-internetowym-CID4-IDL4wEv.html,2023-05-12, 695562780,Pracownik w sklepie internetowym,Strona główna/Praca/E-commerce (handel internetowy)/E-commerce (handel internetowy) - Śląskie/E-commerce (handel internetowy) - Katowice/E-commerce (handel internetowy) - Dąbrówka Mała,https://www.olx.pl/oferty/uzytkownik/2yXDn/,Doświadczenie nie jest wymagane,"Sklep internetowy istniejący na rynku od kilkunastu lat, z siedzibą w Katowicach, zatrudni Panią do pracy przy realizacji zamówień.Zakres obowiązków w naszym zespole: Kompleksowa obsługa zamówień Klientów sklepu internetowego (mailowa, telefoniczna)Kompletowanie i przygotowywanie towarów do wysyłkiPakowanie i zabezpieczanie paczek ( paczki lekkie, wymiary paczkomatowe )Przyjmowanie dostaw, rozkładanie i porządkowanie towaru w magazynieWystawianie dokumentów magazynowych, obsługa zwrotów i reklamacjiDbanie o porządek w miejscu pracy Kreowanie pozytywnego wizerunku firmy Wymagania:DyspozycyjnośćSumienność, zaangażowanie oraz chęć do pracyDokładność i staranność w wykonywanej pracySzybkość w działaniu i umiejętność pracy pod presją czasuKomunikatywność i umiejętność pracy w zespoleObsługa komputeraOferujemy:Stabilne zatrudnienie: stałą pracę na umowę o pracę lub innąPraca w pełnym wymiarze czasu pracy ( poniedziałek-piątek w godzinach 8 - 16 )Przyjazną atmosferę w pracy Zainteresowane osoby prosimy o przesłanie CV.",,,,,"Katowice, Dąbrówka Mała",Pełny etat,Umowa o pracę,-2743570672775136172
https://www.olx.pl/oferta/praca/operator-obrabiarek-numerycznych-cnc-wytwornia-broni-popinski-CID4-IDLXmCo.html,2023-05-19, 708636092,Operator Obrabiarek Numerycznych (CNC) - Wytwórnia Broni Popiński,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Łódzkie/Obsługa produkcji - Łódź/Obsługa produkcji - Widzew,http://wbprogow.olx.pl,Doświadczenie nie jest wymagane/Praca zmianowa,"Wytwórnia Broni Jacek Popiński to jeden z najprężniej rozwijających się podmiotów prywatnych polskiego sektora zbrojeniowego. Niewielki zakład ślusarski i kuźnia broni starodawnej przez lata przeobraziły się w wysoce zaawansowany zakład produkcyjny,. Obecnie Wytwórnia Broni Jacek Popiński specjalizuje się w produkcji broni palnej z rodziny AK, w szczególności karabinków 7,62x39mm oraz 5,56x45mm/.223 Rem sprzedawanych w Europie oraz Stanach Zjednoczonych. w wersjach na rynek cywilny i wojskowy. Posiadamy nowoczesny park maszynowy do obróbki metalu i drewna uzupełniony przez nowoczesną aparaturę kontrolną. Nasz dział konstrukcyjny umożliwia samodzielne projektowanie i wdrażanie nowych detali. Bardzo duży nacisk kładziemy na kontrolę jakości, gwarantując zgodność z technologią i najwyższą precyzję wykonania. Zakres obowiązków:Obsługa maszyn CNC do obróbki metali,Wykonywanie detali zgodnie z rysunkiem technicznym oraz kartą technologiczną,Kontrola jakości produkowanych detali,Uzupełnianie raportów produkcyjnych,Przestrzeganie zasad BHP.Dbanie o czystość i porządek na stanowisku pracyOferujemy:Stabilne zatrudnienie w oparciu o umowę o pracę,System wdrożenia i rozwoju, opiekę merytoryczną podczas okresu próbnegoPracę w przyjaznej atmosferze, wsparcie ze strony współpracownikówAtrakcyjne wynagrodzenie, adekwatne do posiadanych umiejętności,Pracę w firmie o ugruntowanej pozycji na rynku,Przeszkolenie z zakresu obsługi obrabiarek CNC oraz przyrządów pomiarowych,Możliwość zdobycia cennego doświadczenia.Nasze wymagania:Znajomość rysunku technicznego,Punktualność i sumiennośćWymagane zaświadczenie o niekaralności (wymóg związany z wytarzaniem wyrobów koncesjonowanych)Rzetelność, dokładność,Gotowość do pracy w systemie zmianowym,Umiejętność pracy w zespole,Doświadczenie w obsłudze maszyn CNC oraz wykształcenie w kierunku technicznym będzie dodatkowym atutemMiejsce pracy: Rogów",,,,,"Łódź, Widzew",Pełny etat,Umowa o pracę,4621046304058081576
https://www.olx.pl/oferta/praca/administrator-systemow-magazynowych-CID4-IDUjBfW.html,2023-05-19, 832146263,Administrator Systemów Magazynowych,Strona główna/Praca/Prace magazynowe/Prace magazynowe - Śląskie/Prace magazynowe - Gliwice/Prace magazynowe - Bojków,http://suus.olx.pl,Odpowiednie doświadczenie zawodowe/Praca zmianowa,"O nasOd 30 lat dostarczamy naszym klientom efektywne rozwiązania w zakresie zarządzania logistyką i globalnymi łańcuchami dostaw. Zatrudniamy ponad 1700 pracowników w 30 oddziałach w Polsce i Europie. Nasze wartości to innowacyjność, partnerstwo i ciągłe doskonalenie się.Twój zakres obowiązkówNadzór nad przepływem dokumentacji magazynowo – transportowej,Administrowanie danymi w systemie magazynowym,Prowadzenie rejestru usług magazynowych i przeładunkowych,Obsługa administracyjna powierzonych operacji magazynowych,Bieżąca komunikacja z klientami (również w języku angielskim),Budowanie pozytywnych relacji pomiędzy oddziałami i innymi strukturami firmy.Nasze wymaganiaWykształcenie min. średnie,Znajomość pakietu MS Office,Praca w systemie zmianowym,Zaangażowanie oraz sumienność w pełnieniu obowiązków,Odpowiedzialność, dokładność i motywacja do pracy,Komunikatywna znajomość języka angielskiego,Podzielność uwagi i umiejętność priorytetyzacji zadań.To oferujemyJako firma ciągle się rozwijamy i Ty też będziesz mieć taką możliwość uczestnicząc w szeregu szkoleń wewnętrznych i zewnętrznych,W najbliższej przyszłości weźmiesz udział w implementacji nowych klientów oraz będziesz mógł / mogła aktywnie uczestniczyć w procesie przeprowadzki, mapowania i stabilizacji procesów magazynowych,Damy Ci przestrzeń na rozwój Twojej kreatywności i realny wpływ na zmiany w organizacji procesów magazynowych,To co nas wyróżnia to unikatowa kultura organizacyjna – traktujemy się po ludzku,Zdrowie psychiczne jest dla nas równie ważne, dlatego pracownicy mogą skorzystać z bezpłatnej i anonimowej pomocy psychologicznej,Każda praca niesie za sobą wynagrodzenie, bo nie tylko radością z pracy żyjemy. Oprócz wynagrodzenia podstawowego masz możliwość uzyskania premii,Na koniec napiszemy, że oferujemy naszą wiedzę z zakresu logistyki, którą zbudowaliśmy na przestrzeni ostatnich 30 lat w Polsce i na całym świecie. Poznaj nas lepiej i aplikuj na stanowisko Administratora Systemów Magazynowych.",,,,,"Gliwice, Bojków",Pełny etat,Umowa o pracę,-8300824734968370979
